"","pb","bathy","chlomean","ppmean","odismean","salinity","tempmean","x","y","focal_rac_vect"
"780",0,-87,0.256393581628799,266.736022949219,0.00210623536258936,35.0320014953613,13.1606597900391,-5.375,49.7083333333333,-0.00131541900261989
"786",0,-59,0.413420110940933,277.724578857422,0.00366969546303153,34.6073608398438,10.6682291030884,1.625,54.0416666666667,-1.0299514970454
"788",0,-99,0.508554697036743,285.172271728516,0.00720449257642031,33.8777084350586,10.3605422973633,4.70833333333333,57.9583333333333,-1.15088112576899
"789",0,-4,0.722112655639648,275.850402832031,0.0111944209784269,34.8581199645996,10.4485292434692,-5.95833333333333,57.2083333333333,-1.18450646080571
"790",0,-120,0.507671892642975,264.649261474609,0.00900273211300373,35.4056968688965,13.2491941452026,-10.125,50.2916666666667,-0.145557139377252
"791",0,-3,0.612589597702026,272.660339355469,0.00862667616456747,33.2751274108887,12.1733446121216,-4.70833333333333,51.7083333333333,-0.107024351214336
"792",0,-4158,0.434816598892212,256.9814453125,0.00879041384905577,35.6433982849121,14.7801713943481,-8.45833333333333,47.125,-0.010006020911942
"795",0,-4858,0.267358660697937,252.962677001953,0.00550609361380339,35.6932106018066,15.6172065734863,-6.54166666666667,45.2916666666667,-0.157661109630127
"797",0,-4,0.686326682567596,272.505920410156,0.010886562988162,34.0167121887207,12.5786905288696,1.95833333333333,50.9583333333333,-0.160568035739881
"801",0,-70,0.253031194210052,253.707855224609,0.00321725872345269,34.4061660766602,15.7864217758179,-2.04166666666667,45.7083333333333,-0.638667541995139
"805",0,-22,0.482546418905258,271.958099365234,0.0130552286282182,33.9517021179199,12.621148109436,-0.208333333333336,50.7083333333333,0.762935780005021
"807",0,-96,0.263175398111343,262.720703125,0.00232895254157484,35.1705131530762,12.9271049499512,-4.875,48.7916666666667,-0.0589622621652161
"812",0,-31,0.43156909942627,278.765228271484,0.00434981565922499,34.8089942932129,10.795280456543,2.625,55.2083333333333,0.346414285478163
"816",0,-161,0.512142896652222,281.177764892578,0.00765282055363059,35.1711845397949,10.2202205657959,0.125,58.625,-0.343622376125315
"817",0,-96,0.696899771690369,270.151153564453,0.0130828386172652,35.0058937072754,12.1360816955566,-10.375,53.2916666666667,0.550217240002802
"822",0,-4769,0.293271094560623,251.538360595703,0.00501746730878949,35.6711959838867,15.7399549484253,-7.95833333333333,44.375,-0.046204283633953
"824",0,-109,0.407384842634201,266.229736328125,0.00550987431779504,35.2509689331055,12.9736518859863,-8.95833333333333,50.4583333333333,-0.228141487786655
"826",0,-280,0.480018436908722,286.376068115234,0.00588839128613472,32.9120445251465,10.1012887954712,4.375,59.7083333333333,-0.082754024309895
"827",0,-78,0.234914630651474,264.409362792969,0.00157304760068655,35.1086730957031,13.1563148498535,-4.45833333333333,49.2916666666667,0.207153528939113
"828",0,-27,0.705781161785126,275.372283935547,0.00610142387449741,33.6581573486328,11.2877206802368,-4.125,54.125,-7.46484720081653e-05
"831",0,-30,0.875088393688202,275.488952636719,0.0139993177726865,33.783618927002,12.0380592346191,3.375,52.5416666666667,-0.1341761252318
"855",0,-105,0.635028302669525,268.955230712891,0.0112641649320722,35.1847724914551,12.3326072692871,-10.625,52.875,-0.106611783201539
"856",0,-2282,0.215658769011497,251.35270690918,0.00397637905552983,35.0447731018066,16.5402641296387,-2.375,44.7916666666667,-0.160423586695528
"858",0,-12,0.582485496997833,283.216033935547,0.00815962068736553,32.898624420166,10.5765571594238,8.125,56.4583333333333,-1.45518844098744
"864",0,-83,0.459177732467651,280.539855957031,0.0052567645907402,35.015998840332,10.3931465148926,2.20833333333333,57.5416666666667,-0.368452109204215
"865",0,-700,0.421169936656952,257.736602783203,0.00723544368520379,35.5589179992676,14.2919130325317,-6.70833333333333,47.4583333333333,-1.68145522915206
"870",0,-7,0.502205014228821,256.702301025391,0.0118479328230023,32.2813949584961,15.2908535003662,-1.20833333333334,45.5416666666667,-0.17986856277866
"876",0,-213,0.31156724691391,255.225387573242,0.00376800866797566,35.4779586791992,15.0244255065918,-4.625,46.625,-0.188186505938851
"878",0,-18,0.643868446350098,273.242248535156,0.00891947653144598,34.227222442627,12.1448802947998,1.625,51.875,-0.162275930115978
"884",0,-115,0.312490284442902,267.307708740234,0.00348498485982418,35.1195983886719,13.1182718276978,-7.20833333333333,50.375,-0.981258328832794
"888",0,-44,0.6091428399086,288.969482421875,0.00996328052133322,32.0613098144531,9.93909645080566,5.45833333333333,58.875,-0.173992137522638
"889",0,-4601,0.261116713285446,252.747894287109,0.0052539873868227,35.6938896179199,15.7006330490112,-6.375,45.2083333333333,-1.61036390228122
"891",0,-4429,0.304014354944229,254.227630615234,0.0055080889724195,35.6533088684082,15.5422315597534,-5.125,45.9583333333333,-1.41428115401857
"897",0,-44,0.282237738370895,277.866180419922,0.00191221281420439,34.7045783996582,11.1861085891724,3.95833333333333,54.625,-0.686675641932119
"898",0,-47,0.695114433765411,275.500427246094,0.0105918273329735,34.8438949584961,10.5944442749023,-6.125,56.9583333333333,-0.0356753484377292
"901",0,-124,0.291129648685455,262.365325927734,0.00314064742997289,35.3357429504395,13.6435041427612,-6.625,49.0416666666667,-1.5841768921242
"908",0,-4656,0.331480711698532,255.104827880859,0.00707131298258901,35.6600608825684,15.3512439727783,-5.875,46.125,-0.157741723412602
"910",0,-63,0.329388052225113,270.457824707031,0.00647937366738915,34.8322448730469,12.8793516159058,-3.95833333333334,50.125,-0.308393198356339
"911",0,-35,0.335119217634201,266.851806640625,0.00289870612323284,34.5377731323242,12.9152450561523,-0.375,49.7916666666667,-0.167060777194194
"916",0,-1016,0.337560474872589,252.648696899414,0.00651460373774171,35.6910057067871,15.4884014129639,-9.54166666666667,43.4583333333333,-1.76309906420147
"917",0,-59,0.465782433748245,281.920227050781,0.00476444559171796,34.7190589904785,10.3390560150146,4.79166666666666,57.125,0.265660197528871
"928",0,-2875,0.270472258329391,251.470855712891,0.00425093807280064,35.7299041748047,15.6429738998413,-9.875,43.5416666666667,-0.106505570492241
"932",0,-44,0.400296032428741,277.704467773438,0.00337999779731035,34.6537055969238,10.7401094436646,1.79166666666666,54.2083333333333,0.381144301515814
"937",0,-164,0.51021546125412,260.945129394531,0.0102285267785192,35.5327301025391,13.8704013824463,-9.125,48.7083333333333,-1.46041828153918
