"","I","D"
"BIOCLIM",0.973320062123362,0.864211467828468
"MAXENT",0.997878405357795,0.957141387597542
"BRT",0.949871413065109,0.735846606278022
"RF",0.788738392665854,0.573020317472325
"GLM",0.844087231921065,0.654436058034993
"GAM",0.706143095550133,0.477677880544061
