"","pb","bathy","chlomean","ppmean","odismean","salinity","tempmean","x","y"
"1173",0,0.462948390875086,-0.400810349760135,0.879371863346818,-0.746733843579192,0.141169241312284,-0.849943737311582,3.45833333333333,56.0416666666667
"1174",0,0.479598354642638,-0.961353377760212,0.728731799075788,-1.07216114839068,-0.0876209579531143,-0.572858960996999,4.625,54.875
"1175",0,0.493473324448931,-1.79430006674458,-2.79124253863773,-1.31178023071032,3.09074564549239,2.83625343961394,6.625,43.2083333333333
"1176",0,0.426873469378724,-0.186583251334103,0.917411822537715,-0.44277058848931,0.250259404717103,-0.931230039063752,1.79166666666667,57.625
"1177",0,0.500410809352078,0.266435839821245,1.11096263628497,-0.0468875786086721,-1.88968850066842,-0.762595676935562,7.54166666666666,55.5416666666667
"1178",0,0.465723384836345,0.424557926869807,0.765375500853029,0.19519361356897,-0.299758224274937,-1.04239424889749,-1.29166666666667,55.5416666666667
"1179",0,0.490004581997358,-0.669063835808167,-0.0300723477068627,-0.955858360028523,-0.636265003190454,0.212208530020346,-4.875,50.625
"1180",0,0.426179720888409,0.431331670412392,1.12481243578428,0.323158143186879,-0.0237811748384267,-1.0155531855224,2.79166666666667,59.5416666666667
"1181",0,0.429648463339983,0.061387754663419,1.08357719520444,0.00227759444952049,0.301807737325818,-1.08841864454132,1.125,59.125
"1182",0,0.392186044862991,0.676285480390867,0.323975570629755,0.0902547171639763,0.29724446552219,-0.569959320365347,-7.54166666666667,56.5416666666667
"1183",0,-2.26417692455184,-1.21510659987673,-1.73228735224079,-0.753423459884848,0.810217815109133,1.91313799987286,-4.375,44.4583333333333
"1184",0,0.407448511649914,-0.00746084762158929,0.945277898381798,-0.156664173075943,0.347486477498214,-0.974688397294668,0.375,58.125
"1185",0,0.49624831841019,1.86131284164848,-0.708827982920444,3.40300460004803,-1.16613201689448,0.939778336152974,-2.45833333333333,46.875
"1186",0,0.491392078977987,2.3535086475317,0.111532320031566,1.70837234320682,-0.557018424971507,0.212645380452587,0.875,50.2083333333333
"1187",0,-2.84276316547426,-1.0537644706126,-1.60625766744066,-0.561194224774993,0.842312944800131,1.67879481668923,-6.79166666666667,44.625
"1189",0,-1.05219831197213,-0.820190730463201,-1.32973022922127,-0.575672099269027,0.749203083118802,1.36943312592779,-4.95833333333333,46.375
"1190",0,0.505960797274595,0.898049566091048,0.303609008163252,0.350919155182129,-1.59986232842679,-0.0639644586798852,-4.54166666666667,51.7083333333333
"1192",0,0.48584209105547,1.43160626417723,-0.0531347610258866,-0.127149994605274,-0.474950335792519,0.198080640201185,0.708333333333332,50.375
"1193",0,0.480985851623267,0.761745004965823,0.239002566567137,0.470923730609262,-0.644127708136815,0.093207168367019,1.54166666666667,50.9583333333333
"1194",0,0.418548487494948,0.0894562479369376,-0.200313717977296,0.0960506337648394,0.415839970116103,0.147946546583457,-10.2916666666667,51.2083333333333
"1195",0,0.474048366720121,0.482554465657398,0.380451497901734,1.27451187785665,-0.112246340936853,-0.0245712874019357,-8.70833333333333,51.5416666666667
"1196",0,0.494860821429561,0.174256299497921,1.05574871090611,-0.116967556351619,-1.53940694239842,-0.761389290605349,7.375,55.625
"1197",0,-0.916223607870454,-0.398532386378776,-0.328667365838046,-0.193221986488515,0.582903864363606,-0.290097882322306,-9.95833333333333,57.0416666666667
"1198",0,-2.58607622405784,-1.06467525430989,-1.52109536309407,-0.669634672146675,0.822488024629208,1.70152939422595,-4.625,45.375
"1199",0,-2.80738199246821,-0.577855556118796,-1.25509221513011,-0.107373302148621,0.827030055446939,1.26184631732278,-8.70833333333333,46.5416666666667
"1200",0,-2.25862693662932,-0.311123208527832,-1.094557518995,0.0770934823063732,0.791713376228167,1.068997500931,-9.45833333333333,47.5416666666667
"1201",0,0.427567217869039,0.254546544615117,0.931121996295654,0.0635184160583734,0.382548264886217,-1.01938021556956,-0.791666666666668,58.2916666666667
"1202",0,0.460867145404142,0.717863898840324,0.781612363507603,0.254529839204266,0.176762053347722,-1.11200627349982,-2.29166666666667,57.9583333333333
"1203",0,0.424098475417465,0.723956060143882,0.629380028762923,0.412487884275669,0.375198883765711,-0.957606260539826,-3.875,59.2916666666667
"1204",0,0.471273372758862,-0.260812002782494,0.751133675233736,-0.662058263446668,-0.0867146758881579,-0.76277372101929,1.04166666666667,54.875
"1205",0,0.45462340899131,0.84177493178803,0.555195798331209,0.51526289489977,0.0776551533146896,-0.958692880102376,-5.79166666666667,57.2916666666667
"1206",0,0.41577349353369,0.523295824091642,-0.0909384305006261,0.822465299064081,0.515077856228836,-0.026021796032518,-10.9583333333333,53.4583333333333
"1207",0,0.452542163520366,0.879127397715359,0.859338254571264,0.535723411090113,0.372880076138576,-1.1507014936145,-2.125,58.7916666666667
"1208",0,-2.82195071076482,-0.780415402523649,-1.34281745736388,-0.221595851500284,0.837292991799708,1.3523358462483,-7.54166666666667,46.0416666666667
"1209",0,-0.225943860007369,-0.399255215397877,0.00886980858208862,-0.190154912939036,0.55874578306961,-0.718765628736037,-7.625,59.4583333333333
"1210",0,0.431729708810927,0.204847384030007,0.283626416485504,-0.473723536953554,-0.397027779027843,-0.387621529184617,-5.20833333333333,52.9583333333333
"1211",0,0.416467242024004,-0.610438610508157,-0.554503947165691,-0.607091025522275,0.556384493470681,0.538493127389587,-8.29166666666667,49.4583333333333
"1212",0,0.494860821429561,3.41500297226995,0.836501390526754,3.2985599938144,-2.25214468402194,-0.15501794682938,3.79166666666667,52.375
"1213",0,0.497635815390819,0.614467611672994,1.02548483146511,0.124871576342536,-2.28181834132064,-0.676585241570027,7.79166666666666,54.7916666666667
"1214",0,-0.937036062579894,-0.27962600236894,-0.463161861208471,-0.149776901425351,0.585509425300356,-0.169132529229912,-9.95833333333333,55.7083333333333
"1215",0,0.474048366720121,-0.32145986557453,-1.5241872677322,0.542243001292598,0.707032645783796,1.60490514531237,-7.375,43.7083333333333
"1216",0,0.379004823547013,-1.00001135776693,-1.44230751086291,-0.737138223095008,0.526937406688228,1.64089941832182,-3.54166666666667,45.9583333333333
"1217",0,0.476129612191065,0.706382079029275,0.792264196507553,0.0885278895536455,-0.314718958675351,-1.0827097619494,-1.79166666666667,56.2083333333333
"1218",0,0.432423457301241,-0.935349125359198,-0.786521652659174,-0.882626864968341,0.521899752866223,0.657191630549974,-6.04166666666667,48.7083333333333
