"","pb","bathy","odismean","salinity","tempmean","x","y","focal_rac_vect"
"617",0,-2.92740048129265,-0.686169634775548,0.883704545985565,1.54063168996287,-9.79166666666667,44.2916666666667,-1.65892234189636
"618",0,0.458092151442884,0.0982471584851802,0.0350067937969919,-1.19881331847709,-1.625,56.875,-0.0795469202246123
"619",0,0.486535839545785,0.630441157941176,0.116540318164228,-0.98226949602477,-5.79166666666667,57.7083333333333,-0.654353567764963
"620",0,0.479598354642638,-0.505397578266068,-0.862587707927435,-0.496879107142346,6.54166666666666,55.0416666666667,-0.484115372462769
"621",0,0.44560467861722,-0.683962331614738,-0.420867245533378,-0.232601115190598,-5.45833333333333,52.125,-0.0400839590325051
"622",0,0.489310833507043,-0.103581416429866,-1.47909670310702,-0.829102484232244,7.79166666666666,56.625,-0.450792151879952
"623",0,0.377617326566383,0.161884892721682,0.554200212087563,-0.504274360888143,-8.70833333333333,58.2916666666667,-0.0266487907091417
"624",0,0.448379672578478,0.532777860661696,0.0717147575920452,-1.23927200099838,-1.79166666666667,57.125,0.286382231065001
"625",0,0.388023553921103,-0.821516902735321,0.678750273061385,1.35976000921387,-4.45833333333333,46.4583333333333,-1.20960801023487
"626",0,0.390798547882362,0.116995117113138,0.303138839108723,-0.561995059754026,-7.625,56.5416666666667,-0.0602029253792749
"627",0,-1.40323504807134,-0.680010135570136,0.868825235364424,1.53813310739611,-9.45833333333333,43.875,-0.198575343629088
"628",0,0.416467242024004,0.690647249265017,0.46510135657653,-0.351339540606872,-8.125,56.0416666666667,-0.33181401739741
"629",0,0.458785899933198,-0.582368622885124,-0.078083755285174,-0.711706731468005,0.541666666666666,55.0416666666667,-1.37859178978964
"630",0,-2.31551431283512,0.0488790167663271,0.794687114253805,1.05079570550529,-9.95833333333333,47.625,-0.137945292450042
"631",0,-2.80252575303601,-0.633234360593069,0.835512289148641,1.76561287470261,-5.95833333333333,44.5416666666667,-0.237662676302668
"632",0,0.44560467861722,-0.88721244619951,0.305698377909362,0.27240762088679,-4.375,48.9583333333333,-1.21130514356984
"633",0,-2.18578334514628,-0.0677473525234264,0.818717749632417,1.21351927937959,-8.95833333333333,46.7916666666667,-0.225683014295515
"634",0,0.492085827468302,1.19865776810731,-1.50845882594589,-0.364663478790228,5.70833333333333,53.7083333333333,-0.544475949453539
"635",0,0.470579624268547,-0.899099472041965,-0.281827292013201,0.197763097660102,-0.791666666666668,50.2916666666667,0.181129982405307
"636",0,-2.13583345384362,0.0902954019815208,0.78935916695787,1.01971508210554,-9.95833333333333,47.7916666666667,-0.300231321301846
"637",0,0.417854739004633,-0.0217133923259531,0.626936428128952,0.563297696837903,-9.54166666666667,49.375,-1.12683862221794
"638",0,0.452542163520366,-0.681613846064688,0.122024032690078,-0.768860717850886,1.95833333333333,55.7916666666667,-0.121837637031779
"639",0,0.492779575958617,2.60412663128554,-2.96876244573606,1.71338951636009,-1.29166666666667,44.9583333333333,-0.701001180471146
"640",0,0.434504702772185,-0.801901203745109,0.653827516275082,1.50844792744641,-4.125,46.2083333333333,-0.115305862964916
"641",0,0.455317157481625,-0.627309634038151,0.0376725375271178,-0.759027453236919,1.125,55.5416666666667,-0.0025104186814636
"642",0,0.494860821429561,-0.00961117719667233,0.00462156347073648,0.248617627389825,-4.70833333333333,50.2916666666667,-1.10790719623886
"643",0,-0.579755590067845,-0.169145227616352,0.566463341279005,-0.577370175912296,-8.79166666666667,58.7916666666667,-0.17065916857652
"644",0,0.485148342565155,-0.257592351058859,-0.694985708703864,-0.354611788960141,5.375,53.9583333333333,-1.19113772761119
"645",0,0.501104557842392,0.956601168991016,-1.30859530930846,-0.466804341040365,-3.70833333333333,53.375,-0.0228663252183254
"646",0,0.437279696733444,-0.892371637815351,0.43639416413617,0.489077175501332,-5.29166666666667,48.2916666666667,-1.49926431542529
"647",0,0.422017229946521,-0.729889266452626,0.554681674434571,0.590480623208809,-7.54166666666667,49.2083333333333,0.446701566426782
"648",0,0.507348294255224,-0.160497654466367,-1.00375530020167,1.13488023618162,-1.29166666666667,46.2083333333333,0.590074650695369
"649",0,-2.71927593419825,-0.635006047769013,0.811587858699517,1.84615304325853,-5.375,44.375,-0.575638113433303
"650",0,0.315179962438064,-0.463161044816606,-1.82570357081676,-1.06466857330024,4.20833333333333,58.7916666666667,-1.00594823128316
"651",0,-2.39529538922131,-0.80131727034703,0.799059217184357,1.83504088982665,-3.95833333333333,45.0416666666667,-0.223668729850949
"652",0,0.494167072939246,3.24910486552669,-2.05929069273066,-0.134006909443394,3.625,52.2916666666667,0.151420909429396
"653",0,0.383167314488901,0.274572880587716,0.707666335196403,0.698203259259137,-9.70833333333333,48.7916666666667,-0.880961965633034
"654",0,-1.25824161359558,-0.23311489227659,0.591987925999068,-0.140769831366052,-10.7916666666667,55.2916666666667,-0.0228523060679368
"655",0,-2.77685705889437,-0.140713675176722,0.826608775893307,1.30399871302201,-7.125,46.2916666666667,-0.527524125707024
"656",0,0.453235912010681,-0.598753901819598,0.0224533711316183,-0.749488328462309,0.791666666666666,55.5416666666667,-1.0652288718311
"657",0,0.40536726617897,0.934853312305235,0.509480856444867,-0.0906430797723951,-10.7916666666667,53.7916666666667,0.301639908829433
"658",0,-2.71372594627573,-0.5079095621314,0.845442450055684,1.57798882619055,-6.375,45.2916666666667,-1.67286393335869
"659",0,-0.720586533601721,-0.166582994965173,0.561740762081146,-0.605278127160241,-9.54166666666667,58.875,-0.0919108452182247
"660",0,0.45462340899131,-0.552369566402376,0.0371521333726311,-0.757397523893095,0.375,55.625,-0.161164134417734
"661",0,0.455317157481625,-0.54257287487029,0.170729613352856,-0.98557386573335,2.79166666666667,57.4583333333333,-0.00731482004308161
"662",0,0.419242235985263,-0.17198724429266,0.664993194528491,0.753385453302374,-7.70833333333333,48.5416666666667,-0.230593366943254
"663",0,0.478904606152323,0.233757051858366,-0.138574542956702,-1.2014926983866,-1.875,56.625,-0.199741302844399
"664",0,0.433810954281871,-0.661897042266697,0.359452232887092,1.19485860744943,-3.95833333333333,47.125,-1.1066666081346
"665",0,0.422710978436836,0.716800148304114,0.530597936591216,-0.310728052209595,-8.70833333333333,56.2083333333333,-0.641318165513224
"666",0,0.419935984475577,0.867676302560403,0.523606112066649,-0.179762862332116,-10.375,54.4583333333333,-0.454848849238755
