"","X","pb","bathy","chlomean","ppmean","odismean","salinity","tempmean","x","y"
"1337",1550,0,1.06498342674251,1.06680639594623,0.857677682352284,1.35816362781751,0.00277496490973874,-1.32003430641106,8.20833333333333,62.875
"1338",1551,0,1.01185130425531,0.0833597472728757,-0.108013779492797,-0.115779000683328,0.215163346618081,0.0245452713406689,-3.79166666666667,46.875
"1340",1553,0,1.01296987525504,-0.113726732108163,3.3238509510458,-0.542058204321833,-3.68455931286617,-1.74694896509528,18.7916666666667,62.5416666666667
"1342",1555,0,-0.351686744416265,0.385328910411775,0.443264067002802,0.0863945398451947,0.223069377138605,-1.03283613185655,-18.125,60.375
"1343",1556,0,-1.29184566968981,0.264068112938,-0.183874999936679,0.414608238405231,0.285302704848725,0.00768814428531091,-15.9583333333333,46.375
"1347",1560,0,-1.43949704165425,0.323046652908069,-0.23788322839761,0.43644960427233,0.287303766909197,0.045574698168761,-19.4583333333333,46.375
"1349",1562,0,1.01856273025369,0.621922105899408,0.607815085622888,0.15854129407029,0.197710355161555,-0.973790863321657,1.29166666666666,57.0416666666667
"1352",1565,0,-0.379651019409529,0.402153421737293,0.129031411790566,0.234460410715491,0.246773083276341,-0.527729074843381,-17.7083333333333,53.375
"1353",1566,0,1.0700169962413,2.57119166783153,0.315554593447361,1.4426723799408,0.0759873473011717,-0.494460331115887,1.125,50.4583333333333
"1354",1567,0,1.06610199774224,0.485867103012979,0.584750831601346,-0.0966525023341212,0.168187497057683,-0.923291331931405,2.79166666666666,55.2916666666667
"1355",1568,0,1.07057628174116,1.34591782049223,0.26631925879184,2.05709916977354,0.110189436544465,-0.457227317780539,0.208333333333332,49.7083333333333
"1357",1570,0,-1.43558204315519,0.315826315212636,-0.262593998111119,0.463903218677921,0.289817247687682,0.103937393833348,-19.4583333333333,45.625
"1359",1572,0,1.0666612832421,2.37670700525099,0.643635297515869,3.50084398084727,0.0893831531869008,-0.996754803590631,-0.708333333333336,54.5416666666667
"1360",1573,0,0.795967101307305,1.06319909989637,0.838355213213985,0.609463570851695,0.219230949219932,-1.31847073832442,-9.04166666666667,63.125
"1363",1576,0,1.05883128624399,1.185110322256,0.435094332653348,0.0811758204207593,0.0335508430346195,-0.800676974237981,-4.20833333333334,53.625
"1364",1577,0,1.01241058975517,-0.078120220175618,0.0781965781478818,-0.338311005704331,0.233000776125392,-0.292992933114077,-6.54166666666667,49.0416666666667
"1365",1578,0,0.012408115996037,0.666318323955787,0.0751251304420299,0.649576038450748,0.258975891081893,-0.361749617860079,-12.7083333333333,51.2083333333333
"1367",1580,0,1.06889842524156,-0.684611525690369,2.79909425015459,-0.756705292667897,-3.47007295350488,-1.24257293777797,18.2916666666667,56.4583333333333
"1368",1581,0,-1.34050350817809,0.357029271881488,0.0491625991521287,0.248008829720778,0.25427235353668,-0.415322815822996,-17.2083333333333,52.0416666666667
"1369",1582,0,-0.592738794858204,0.518751140635107,1.55139007573335,0.190066209678731,0.165881364802073,-1.96266830918202,-5.875,64.5416666666667
"1371",1584,0,-0.72137445982722,0.37938315690767,0.393131225348664,0.134198743160614,0.222478086614043,-0.742271043388525,-21.7083333333333,54.625
"1372",1585,0,0.535340058370081,0.319499744241698,0.293396225639154,0.123479033428789,0.228942598456399,-0.848244241085311,-19.125,57.875
"1374",1587,0,0.677957860835729,0.812177541008677,0.129705473063387,0.735895924565282,0.254637445672651,-0.439560209822165,-13.125,52.0416666666667
"1377",1590,0,1.07952484973901,0.781872455061254,3.11900894396908,0.068360872345758,-3.65173642613313,-1.63186389997081,23.0416666666667,60.2916666666667
"1379",1592,0,-1.29799781018833,0.303472698149411,-0.102155777381485,0.309442208015969,0.258289359130556,-0.272651718528234,-22.5416666666667,49.2083333333333
"1381",1594,0,-0.590501652858743,0.579893894075215,1.19784028301941,0.227203790523159,0.179646231216555,-1.70371566001628,-2.70833333333334,64.375
"1382",1595,0,-1.42495561865775,0.356877775766015,-0.129520896112691,0.40135234104127,0.275828167081,-0.117261748853583,-17.125,48.2083333333333
"1383",1596,0,-0.73088231332493,0.368169981964485,0.214007821311181,0.221751470483158,0.217239808141416,-0.739694268143419,-23.7916666666667,52.5416666666667
"1384",1597,0,0.920128482277398,0.709430459999357,-0.030103841050514,0.635263312900564,0.265137316925501,-0.192647202016048,-7.875,47.9583333333333
"1386",1599,0,0.523035777373044,0.35539869527021,0.327819901745904,0.243533831984999,0.234955705619769,-0.828503515178213,-15.5416666666667,57.375
"1387",1600,0,1.06050914274359,0.173787567536179,0.396129122169774,0.303161576695875,0.139248984791004,-0.503290334379409,-1.95833333333334,50.4583333333333
"1388",1601,0,1.03198558225046,-0.0522670328475253,0.267168352549869,-0.377581494345462,0.176537491520726,-0.44573594869282,-6.125,50.625
"1390",1603,0,0.583997896858361,1.04428201916161,1.14646266246781,0.655789831492682,0.214029378380541,-1.38351149469354,-7.625,63.2916666666667
"1391",1604,0,1.05156057474574,-0.252764637224874,3.32074133136179,-0.623267545681572,-3.67598361606363,-1.75163465658014,18.7083333333333,61.9583333333333
"1392",1605,0,1.05994985724372,1.20561600157623,0.596542248756427,0.687855203751834,-0.038402070697533,-0.813410467211787,7.04166666666666,54.625
"1394",1607,0,1.00849559125611,1.52444684652718,0.430966172869248,1.5246731131826,0.234584164845527,-0.880772347298082,-6.625,58.875
"1398",1611,0,0.657823582840579,0.420619883608454,0.213087969739983,0.340095892502356,0.243544795747945,-0.738518772392471,-10.875,57.4583333333333
"1406",1619,0,1.03086701125072,0.413959448352174,0.261092490855905,0.0774221260484183,0.206347066003118,-0.462648842870691,-8.375,50.7916666666667
"1407",1620,0,0.886571352285481,0.543881203703042,0.239592356914942,0.338361847547641,0.238869533001306,-0.758623759953737,-15.375,55.875
"1411",1624,0,1.01185130425531,1.13052317626472,0.686866459314451,0.739789379277367,0.178444304252618,-1.06767470963951,2.04166666666666,59.4583333333333
"1412",1625,0,-0.559181664866287,0.419306252817706,0.508458081599519,0.158595631423607,0.220771677717657,-0.948939822109218,-20.875,58.375
"1413",1626,0,0.32896370891979,0.52363665584501,0.510188854950588,0.381141512471185,0.21893778420314,-1.21283172563146,-22.2916666666667,62.5416666666667
"1414",1627,0,0.468225798386246,0.794133087279611,-0.0148983594100254,0.960279524904272,0.267230644118161,-0.1978918179198,-8.95833333333334,48.125
