"","Lon","Lat","focal_rac_vect"
"135",0.75,53.75,-0.445031344890594
"136",3.25,53.75,-0.469098508358002
"137",6.75,53.75,-0.471880376338959
"138",-5.75,53.75,-0.461308777332306
"139",3.75,53.75,-0.430240452289581
"140",7.25,53.75,-0.464794278144836
"141",7.75,53.75,-0.461964964866638
"142",-6.25,53.75,-0.430167436599731
"143",1.25,53.75,-0.461925685405731
"144",8.25,53.75,-0.469848453998566
"145",-3.75,53.75,-0.452281832695007
"146",1.75,53.75,-0.437747180461884
"147",4.25,53.75,-0.475675761699677
"148",-10.25,53.75,-0.440436005592346
"149",4.75,53.75,-0.445915818214417
"150",-4.75,53.75,-0.479135274887085
"151",-10.75,53.75,-0.454201400279999
"152",2.25,53.75,-0.447750151157379
"153",2.75,53.75,-0.452085793018341
"154",5.25,53.75,-0.477485954761505
"155",5.75,53.75,-0.447871625423431
"156",6.75,54.25,-0.450801610946655
"157",-9.75,54.25,-0.404205143451691
"158",1.25,54.25,-0.462063908576965
"159",4.25,54.25,-0.526431500911713
"160",-3.75,54.25,-0.432102560997009
"161",1.75,54.25,-0.459368467330933
"162",4.75,54.25,-0.455403029918671
"163",7.25,54.25,-0.499627232551575
"164",-4.25,54.25,-0.446172058582306
"165",2.25,54.25,-0.4502774477005
"166",7.75,54.25,-0.483327925205231
"167",-4.75,54.25,-0.452049970626831
"168",2.75,54.25,-0.531868249177933
"169",-5.25,54.25,-0.46188873052597
"170",5.25,54.25,-0.474797546863556
"171",-5.75,54.25,-0.551167488098145
"172",5.75,54.25,-0.427850723266602
"173",8.25,54.25,-0.45886242389679
"174",0.25,54.25,-0.460136651992798
"175",3.25,54.25,-0.464605987071991
"176",8.75,54.25,-0.471169412136078
"177",-0.25,54.25,-0.425355792045593
"178",-8.75,54.25,-0.471714794635773
"179",-10.25,54.25,-0.424734473228455
"180",0.75,54.25,-0.593803763389587
"181",3.75,54.25,-0.460604786872864
"182",-0.75,54.25,-0.458530962467194
"183",6.25,54.25,-0.486608028411865
"184",-9.25,54.25,-0.448691487312317
"185",0.75,54.75,-0.44055712223053
"186",3.75,54.75,-0.457979440689087
"187",-0.75,54.75,-0.493123888969421
"188",6.25,54.75,-0.443940877914429
"189",-9.25,54.75,-0.478565454483032
"190",6.75,54.75,-0.42338639497757
"191",-3.75,54.75,-0.448227822780609
"192",-9.75,54.75,-0.430208921432495
"193",1.25,54.75,-0.453944325447083
"194",4.25,54.75,-0.507218480110168
"195",4.75,54.75,-0.433667600154877
"196",7.25,54.75,-0.449206531047821
"197",-4.25,54.75,-0.427327573299408
"198",2.25,54.75,-0.447118699550629
"199",7.75,54.75,-0.438571393489838
"200",2.75,54.75,-0.551158636808395
"201",-5.25,54.75,-0.451030552387238
"202",5.25,54.75,-0.445867955684662
"203",5.75,54.75,-0.457896530628204
"204",8.25,54.75,-0.42708295583725
"205",-8.75,54.75,-0.462078213691711
"207",0.25,54.75,-0.4243483543396
"208",3.25,54.75,-0.496381402015686
"209",-0.25,54.75,-0.461621046066284
"210",-7.75,55.25,-0.464455485343933
"211",0.75,55.25,-0.449783265590668
"212",8.25,55.25,-0.490855753421783
"213",3.25,55.25,-0.445391058921814
"214",5.25,55.25,-0.519741952419281
"215",3.75,55.25,-0.445845484733582
"216",5.75,55.25,-0.432744741439819
"217",-8.25,55.25,-0.442991375923157
"218",1.25,55.25,-0.428181648254395
"219",-0.25,55.25,-0.540791749954224
"220",1.75,55.25,-0.45191890001297
"221",-0.75,55.25,-0.451029360294342
"222",4.25,55.25,-0.445681095123291
"223",-9.25,55.25,-0.446678042411804
"224",6.25,55.25,-0.44355183839798
"225",4.75,55.25,-0.422248601913452
"226",6.75,55.25,-0.44801253080368
"227",2.25,55.25,-0.425539553165436
"228",-1.25,55.25,-0.45002818107605
"229",2.75,55.25,-0.445445656776428
"230",-5.25,55.25,-0.445188045501709
"231",7.25,55.25,-0.445950210094452
"232",-6.25,55.25,-0.457833111286163
"233",0.25,55.25,-0.439317107200623
"234",-7.25,55.75,-0.450288057327271
"235",0.25,55.75,-0.609912097454071
"236",-7.75,55.75,-0.435289323329926
"237",0.75,55.75,-0.441067695617676
"238",3.25,55.75,-0.424874126911163
"239",5.25,55.75,-0.469708025455475
"240",3.75,55.75,-0.717754334211349
"241",-8.25,55.75,-0.433719575405121
"242",5.75,55.75,-0.46412456035614
"243",1.25,55.75,-0.437994182109833
"244",-0.25,55.75,-0.442663550376892
"245",1.75,55.75,-0.436119258403778
"246",-0.75,55.75,-0.450759887695312
"247",4.25,55.75,-0.444170594215393
"248",6.25,55.75,-0.44248902797699
"249",4.75,55.75,-0.489525556564331
"250",6.75,55.75,-0.460869312286377
"251",-1.25,55.75,-0.443130731582642
"252",2.25,55.75,-0.520336180925369
"253",-1.75,55.75,-0.440439939498901
"254",7.25,55.75,-0.459129512310028
"255",2.75,55.75,-0.439805328845978
"256",7.25,56.25,-0.460073828697205
"257",-8.75,56.25,-0.551741808652878
"258",4.25,56.25,-0.452974915504456
"259",-0.75,56.25,-0.476330816745758
"260",4.75,56.25,-0.444907486438751
"261",1.25,56.25,-0.471139371395111
"262",-9.25,56.25,-0.536120146512985
"263",5.25,56.25,-0.450775325298309
"264",1.75,56.25,-0.457878291606903
"265",-1.25,56.25,-0.423018455505371
"266",5.75,56.25,-0.444094359874725
"267",-1.75,56.25,-0.474079310894012
"268",2.25,56.25,-0.428799510002136
"269",2.75,56.25,-0.431240677833557
"270",6.25,56.25,-0.431557416915894
"271",-7.25,56.25,-0.457513809204102
