"","pb","bathy","chlomean","ppmean","odismean","salinity","tempmean","x","y"
"1",1,0.457168055655623,-1.07354783707868,-1.25560907443467,-0.440904175591304,0.356479779807586,1.86404713780174,-2.25,43.75
"2",1,0.232555126154521,-1.07020174403107,-1.23953578299513,-0.314807933310934,0.40341195058238,1.79219890105179,-3.75,43.75
"3",1,0.800884094748087,-0.433500845627352,-1.18286140849596,0.397230597964638,0.419543524110452,1.590199528815,-6.75,43.75
"5",1,0.802178693765385,-0.946252035141423,-1.2216705155876,0.114667785063603,0.315357391619193,1.8374995940123,-1.75,43.75
"7",1,0.813830084921061,-0.992684049966849,-1.17526528216445,-0.330876758548055,0.242654498056127,1.81052123236848,-1.75,44.25
"8",1,0.281749888811823,-1.21103520529039,-1.23323203976218,-0.550216337541006,0.351087932043736,1.84467542136115,-2.25,44.25
"9",1,0.873381639716743,0.313321332319666,-1.03368037362517,0.723573892965578,-0.0476305493819664,1.6525105422983,-1.25,44.75
"10",1,0.820303080007548,-0.565604143201807,-1.12163861706188,-0.582120231690793,0.21673498869447,1.75953162037365,-1.75,44.75
"11",1,-0.0567877542114523,-1.16063471809649,-1.17463886214765,-0.612259666362812,0.344734523290699,1.81378505479058,-2.25,44.75
"12",1,0.265567401095605,-1.10166476695698,-1.17312031200685,-0.613951496163843,0.414690416983962,1.72504160579021,-3.25,45.25
"14",1,0.866908644630256,0.731494781212441,-0.967270207194384,3.32588997590025,-0.0250678427714777,1.54467476586797,-1.25,45.25
"15",1,0.832601770671874,-0.413592119967524,-1.08009284053581,-0.490345274017029,0.220089570750513,1.67487227993058,-1.75,45.25
"16",1,0.805415191308628,-1.09851839473413,-1.14086763797789,-0.593761263932573,0.330200961974681,1.75047941642946,-2.25,45.25
"17",1,0.804120592291331,-1.10176113085632,-1.15480897953731,-0.533897316153952,0.388658540448973,1.75001283678171,-2.75,45.25
"18",1,-2.22524110818463,-0.988617185721473,-1.13503744705941,-0.393133723310896,0.441036299809646,1.58544516602122,-5.75,45.25
"19",1,0.802825993274033,-0.991753278195992,-1.13019438606732,-0.555661845702615,0.39801033175998,1.64400230875779,-3.25,45.75
"20",1,0.873381639716743,-0.154325398439449,-0.99917567382373,0.281852794735057,0.117398410217502,1.38593263536799,-1.25,45.75
"21",1,0.841016664284307,-0.747409814176886,-1.05923098037662,-0.640426485557853,0.235486982470212,1.50171367648243,-1.75,45.75
"22",1,0.822244978533495,-1.03574185977983,-1.1205487716131,-0.67210001767551,0.321074793288389,1.62054760131595,-2.25,45.75
"23",1,0.832601770671874,-1.03511017973429,-1.13300097921418,-0.562333470400228,0.368472865900439,1.6560951033046,-2.75,45.75
"24",1,0.689548579260509,-0.816106924729066,-1.09319654424366,-0.650865897421491,0.420704947660902,1.48676412930199,-4.25,46.25
"25",1,0.87467623873404,-0.499715431922175,-0.95212424885131,0.226793774455648,0.20770963956686,1.27663565441209,-1.25,46.25
