"","pb","bathy","chlomean","ppmean","odismean","salinity","tempmean","x","y","focal_rac_vect"
"1",1,-647,0.237365916371346,248.806137084961,0.00468506524339318,34.9622230529785,16.7449512481689,-2.25,43.75,1.53648648081604
"2",1,-994,0.23807892203331,249.314727783203,0.00540297711268067,35.3653221130371,16.4997024536133,-3.75,43.75,1.95136991582175
"3",1,-116,0.373750984668732,251.108016967773,0.0094568720087409,35.5038757324219,15.8101921081543,-6.75,43.75,1.02130769657994
"4",1,-114,0.264490872621536,249.880020141602,0.00784813892096281,34.6090240478516,16.654333114624,-1.75,43.75,0.981175316417331
"5",1,-96,0.25459685921669,251.348373413086,0.00531149143353105,33.9845809936523,16.5622444152832,-1.75,44.25,0.949383107432926
"6",1,-918,0.208069279789925,249.514190673828,0.00406271126121283,34.9159126281738,16.6788272857666,-2.25,44.25,1.84827973615974
"7",1,-4,0.532888352870941,255.828399658203,0.0113148633390665,31.4913311004639,16.0228862762451,-1.25,44.75,0.946697725703375
"8",1,-86,0.345601618289948,253.045227050781,0.0038810707628727,33.7619590759277,16.3881950378418,-1.75,44.75,0.935210211339866
"9",1,-1441,0.21880891919136,251.368194580078,0.00370947597548366,34.8613433837891,16.5733852386475,-2.25,44.75,2.41675027740664
"10",1,-943,0.231374591588974,251.416244506836,0.0036998437717557,35.4621925354004,16.2704658508301,-3.25,45.25,1.88540104252307
"11",1,-14,0.621995270252228,257.929748535156,0.026130797341466,31.6851215362549,15.6547966003418,-1.25,45.25,1.09991817823618
"12",1,-67,0.377993255853653,254.359817504883,0.00440357904881239,33.790771484375,16.0992164611816,-1.75,45.25,1.0674059149415
"13",1,-109,0.232045039534569,252.436782836914,0.00381479412317276,34.736515045166,16.3572959899902,-2.25,45.25,0.951286399998614
"14",1,-111,0.231354057788849,251.995651245117,0.00415562139824033,35.2386054992676,16.3557033538818,-2.75,45.25,0.952534044432451
"15",1,-4791,0.255463451147079,252.62126159668,0.00495703984051943,35.6884765625,15.793963432312,-5.75,45.25,4.82091469349997
"16",1,-113,0.25479519367218,252.774505615234,0.00403170799836516,35.3189277648926,15.9938440322876,-3.25,45.75,-0.128228249928545
"17",1,-4,0.433239370584488,256.920196533203,0.00879998411983252,32.9087600708008,15.1129417419434,-1.25,45.75,0.947180643703198
"18",1,-54,0.306861370801926,255.019927978516,0.0035491120070219,33.9230194091797,15.5081520080566,-1.75,45.75,0.930761880282698
"19",1,-83,0.245421841740608,253.079711914062,0.00336878304369748,34.658130645752,15.9137830734253,-2.25,45.75,0.938098376171573
"20",1,-67,0.245556443929672,252.685699462891,0.00399372400715947,35.0652313232422,16.0351219177246,-2.75,45.75,0.920517794698529
"21",1,-288,0.29222297668457,253.945190429688,0.00348967663012445,35.5138511657715,15.4571228027344,-4.25,46.25,1.16315030052327
"22",1,-2,0.359641581773758,258.408996582031,0.00848651304841042,33.684440612793,14.7398643493652,-1.25,46.25,0.950062458921153
"23",1,-25,0.355158567428589,257.546630859375,0.00623670127242804,34.0319328308105,14.8048553466797,-1.75,46.25,0.948874024206989
"24",1,-40,0.35193195939064,255.005767822266,0.0040309950709343,34.4539108276367,15.1796274185181,-2.25,46.25,0.928766019208667
"25",1,-101,0.310181617736816,254.072174072266,0.00390073005110025,34.8424224853516,15.5123891830444,-2.75,46.25,0.973410878800643
"26",1,-4772,0.350065618753433,254.655776977539,0.0072001121006906,35.694019317627,15.0579147338867,-10.25,46.25,4.83514668683333
"27",1,-108,0.281090259552002,253.903671264648,0.00435982504859567,35.1551551818848,15.6475257873535,-3.25,46.25,0.977211768334824
"28",1,-96,0.28732231259346,253.916412353516,0.00393420411273837,35.3753662109375,15.5914545059204,-3.75,46.25,0.961917019374337
"29",1,-110,0.363319754600525,255.722869873047,0.0049651307053864,34.9742279052734,15.1760377883911,-3.25,46.75,1.00294935502707
"30",1,-3349,0.363983482122421,255.999176025391,0.00674937898293138,35.606876373291,14.9171676635742,-5.75,46.75,4.00271005983476
"31",1,-121,0.313295096158981,255.53515625,0.00453513488173485,35.2443923950195,15.2591648101807,-3.75,46.75,0.570335407503102
"32",1,-278,0.307472705841064,255.698837280273,0.00423851376399398,35.3957176208496,15.1187181472778,-4.25,46.75,1.17346443562757
"33",1,-14,0.837980449199677,258.951629638672,0.0164511185139418,33.6587295532227,14.4495992660522,-2.25,46.75,1.04240343414586
"34",1,-57,0.639924347400665,257.069763183594,0.00766911637037992,34.4522247314453,14.8383274078369,-2.75,46.75,1.10721395597004
"35",1,-119,0.342211186885834,257.928558349609,0.00429119821637869,35.221004486084,14.7098560333252,-4.25,47.25,1.02147885189065
"36",1,-121,0.324671387672424,257.703308105469,0.00404837261885405,35.3396301269531,14.6056432723999,-4.75,47.25,1.0243318998478
"37",1,-136,0.338771402835846,257.565979003906,0.00421974016353488,35.437572479248,14.4859504699707,-5.25,47.25,1.04510041320044
"38",1,-2,1.51091122627258,266.096893310547,0.0520111173391342,32.2624588012695,13.9254379272461,-2.25,47.25,1.3992186408619
"39",1,-22,1.05762338638306,262.956817626953,0.0246782824397087,33.6170616149902,13.9937362670898,-2.75,47.25,1.14374185422121
"40",1,-64,0.591885924339294,259.59228515625,0.00888060685247183,34.7497634887695,14.33558177948,-3.25,47.25,1.02277532798202
"41",1,-101,0.407053649425507,258.151885986328,0.00565669871866703,35.0619697570801,14.7356748580933,-3.75,47.25,1.01527558748976
"42",1,-51,0.397872775793076,261.538024902344,0.00665312493219972,35.0700759887695,13.9848432540894,-4.25,47.75,1.00030333359637
