"","Lon","Lat","focal_rac_vect"
"135",0.75,53.75,-0.312638580931264
"136",3.25,53.75,-0.492239467849224
"137",6.75,53.75,-0.556541019955654
"138",-5.75,53.75,-0.889135254988914
"139",3.75,53.75,-0.412416851441242
"140",7.25,53.75,-0.780487804878049
"141",7.75,53.75,-0.190687361419069
"142",-6.25,53.75,-0.412416851441242
"143",1.25,53.75,-0.467849223946785
"144",8.25,53.75,-0.208425720620843
"145",-3.75,53.75,-0.447893569844789
"146",1.75,53.75,-0.496674057649667
"147",4.25,53.75,-0.556541019955654
"148",-10.25,53.75,-0.226164079822616
"149",4.75,53.75,-0.536585365853659
"150",-4.75,53.75,-0.906873614190687
"151",-10.75,53.75,-0.24390243902439
"152",2.25,53.75,-0.69179600886918
"153",2.75,53.75,-0.470066518847007
"154",5.25,53.75,-0.707317073170732
"155",5.75,53.75,-0.465631929046563
"156",15.75,54.25,-0.818181818181818
"157",6.75,54.25,-0.851441241685144
"158",-9.75,54.25,-0.354767184035477
"159",11.75,54.25,-0.261640798226164
"160",1.25,54.25,-0.680709534368071
"161",4.25,54.25,-0.556541019955654
"162",-3.75,54.25,-0.802660753880266
"163",1.75,54.25,-0.283813747228381
"164",4.75,54.25,-0.341463414634146
"165",12.25,54.25,-0.430155210643016
"166",7.25,54.25,-0.933481152993348
"167",-4.25,54.25,-0.776053215077605
"168",2.25,54.25,-0.29490022172949
"169",7.75,54.25,-0.203991130820399
"170",-4.75,54.25,-0.421286031042129
"171",2.75,54.25,-0.829268292682927
"172",-5.25,54.25,-0.394678492239468
"173",5.25,54.25,-0.762749445676275
"174",-5.75,54.25,-0.962305986696231
"175",10.25,54.25,-0.83370288248337
"176",5.75,54.25,-0.425720620842572
"177",8.25,54.25,-0.933481152993348
"178",10.75,54.25,-0.873614190687361
"179",14.75,54.25,-0.864745011086475
"180",0.25,54.25,-0.339246119733925
"181",3.25,54.25,-0.24390243902439
"182",8.75,54.25,-0.793791574279379
"183",-0.25,54.25,-0.869179600886918
"184",-8.75,54.25,-0.310421286031042
"185",-10.25,54.25,-0.83370288248337
"186",0.75,54.25,-0.940133037694013
"187",3.75,54.25,-0.58980044345898
"188",-0.75,54.25,-0.618625277161863
"189",6.25,54.25,-0.838137472283814
"190",-9.25,54.25,-0.618625277161863
"191",11.25,54.25,-0.764966740576497
"192",0.75,54.75,-0.829268292682927
"193",3.75,54.75,-0.643015521064302
"194",-0.75,54.75,-0.922394678492239
"195",15.25,54.75,-0.962305986696231
"196",6.25,54.75,-0.332594235033259
"197",-9.25,54.75,-0.762749445676275
"198",11.25,54.75,-0.815964523281596
"199",15.75,54.75,-0.372505543237251
"200",6.75,54.75,-0.842572062084257
"201",-3.75,54.75,-0.767184035476718
"202",-9.75,54.75,-0.824833702882483
"203",16.75,54.75,-0.984478935698448
"204",1.25,54.75,-0.16629711751663
"205",4.25,54.75,-0.235033259423503
"206",12.25,54.75,-0.148558758314856
