"","pb","bathy","odismean","salinity","tempmean","x","y","focal_rac_vect"
"1",1,0.718785702325895,-0.0500879740656277,0.185982762391682,0.382964327313122,-2.25,43.75,-0.997782705099778
"2",1,0.52471363387264,0.0783968648281723,0.2384002705548,0.329252024842363,-3.75,43.75,-0.993348115299335
"3",1,1.01576630275436,0.80392329069663,0.25641726983551,0.17824134077719,-6.75,43.75,-0.980044345898004
"4",1,1.01688487375409,0.516007990157811,0.140054072476712,0.363117915398564,-1.75,43.75,-0.988913525498891
"5",1,1.02695201275167,0.0620236535058747,0.05885381146362,0.342949432686572,-1.75,44.25,-0.980044345898004
"6",1,0.567219331862402,-0.161470797718786,0.179960726344552,0.368482420172438,-2.25,44.25,-0.993348115299335
"7",1,1.07840627873927,1.136448391556,-0.265359166383321,0.224823806191378,-1.25,44.75,-0.962305986696231
"8",1,1.03254486775032,-0.193979036075374,0.0299048821658875,0.304830620225465,-1.75,44.75,-0.971175166297118
"9",1,0.274713015432857,-0.224689391421049,0.172864744000713,0.345389400945737,-2.25,44.75,-0.984478935698448
"10",1,0.55323719436577,-0.226413268956891,0.250996941343995,0.279046576255476,-3.25,45.25,-0.971175166297118
"11",1,1.07281342374062,3.78805922959489,-0.24015937616666,0.144207939987823,-1.25,45.25,-0.922394678492239
"12",1,1.04317129224776,-0.100465617769216,0.0336515410014702,0.241540993276385,-1.75,45.25,-0.953436807095344
"13",1,1.01968130125342,-0.205840580282353,0.15663252937384,0.298063373898042,-2.25,45.25,-0.405166151803616
"14",1,1.01856273025369,-0.144842650869191,0.221922511624522,0.297714568300302,-2.75,45.25,-0.962305986696231
"15",1,-1.59889340911586,-0.00141262296765314,0.280422077775602,0.174687074395902,-5.75,45.25,-0.997782705099778
"16",1,1.01744415925396,-0.167019458219577,0.232367321427518,0.218463221240483,-3.25,45.75,-0.944567627494457
"17",1,1.07840627873927,0.68635992646162,-0.0810419550941777,0.0255355032801228,-1.25,45.75,-0.962305986696231
"18",1,1.05044200374601,-0.253389764730976,0.0508485711235386,0.112091090195383,-1.75,45.75,-0.904656319290466
"19",1,1.03422272424992,-0.285663277388763,0.14643971251252,0.200928951821128,-2.25,45.75,-0.790087177980188
"20",1,1.04317129224776,-0.173817461149171,0.199377576179216,0.227503552190786,-2.75,45.75,-0.9490022172949
"21",1,0.919569196777533,-0.264026926689088,0.257714438226222,0.100915108205021,-4.25,46.25,-0.984478935698448
"22",1,1.07952484973901,0.630257942593448,0.0198246684497645,-0.0561727301546795,-1.25,46.25,-0.993348115299335
"23",1,1.0666612832421,0.227608653809072,0.0650112689144459,-0.0419389553793347,-1.75,46.25,-0.864745011086475
"24",1,1.05827200074412,-0.167147050992474,0.11988372406251,0.040140432275339,-2.25,46.25,-0.467386174409403
"25",1,1.02415558525234,-0.190460609108577,0.170404340475692,0.113019080177874,-2.75,46.25,-0.917960088691796
"26",1,-1.58826698461842,0.400030493248376,0.281142837114686,0.0134839565797443,-10.25,46.25,-0.997782705099778
"27",1,1.02024058675328,-0.108296280430336,0.211070941561341,0.142615548444605,-3.25,46.25,-0.931263858093126
"28",1,1.02695201275167,-0.184469749226342,0.239706367829272,0.130335293882235,-3.75,46.25,-0.93569844789357
"29",1,1.01912201575355,3.54008266548309e-05,0.187543828902417,0.0393542620538446,-3.25,46.75,-0.886917960088692
"30",1,-0.792403718310111,0.319362691952834,0.269811091524848,-0.017341268172919,-5.75,46.75,-0.988913525498891
"31",1,1.01296987525504,-0.0769210425620144,0.222675018105864,0.0575600344652571,-3.75,46.75,-0.895787139689579
"32",1,0.925162051776186,-0.130007386660572,0.242352789765964,0.0268006023852215,-4.25,46.75,-0.9490022172949
"33",1,1.07281342374062,2.05568506515531,0.0164812975306823,-0.119744116835108,-2.25,46.75,-0.688741662882102
"34",1,1.04876414724641,0.483968286464337,0.119664470361288,-0.0346081895892153,-2.75,46.75,-0.869179600886918
"35",1,1.01408844625477,-0.120578439088531,0.219633741087334,-0.0627448959861199,-4.25,47.25,-0.851441241685144
