"","pb","bathy","odismean","salinity","tempmean","x","y","focal_rac_vect"
"402",0,0.429648463339983,-0.914665437691783,0.380834825357159,0.436330239067237,-7.125,49.7916666666667,0.0163023679417127
"403",0,0.467804630307289,-0.623719806125932,0.105059565286674,-0.984352336478491,3.70833333333333,57.0416666666667,0.473112338858196
"404",0,0.432423457301241,0.644222836266333,0.451192050978038,-1.23770952650071,-1.625,59.7083333333333,0.299489795918367
"405",0,-2.51253888408448,0.00679679718639402,0.799406153287348,1.09436373522077,-9.79166666666667,47.375,2.22044604925031e-16
"406",0,-2.04772739557366,0.148869849951002,0.782778001493986,0.945427564799319,-10.125,48.0416666666667,0.0109676921009097
"407",0,0.449073421068793,-0.735395076014954,0.409071175943459,0.729762031976526,-4.95833333333333,47.7916666666667,0.329265873015873
"408",0,0.437973445223759,-0.53050390591654,-0.58689741180054,2.04568447818469,-1.79166666666667,44.125,0.411015408029977
"409",0,0.48584209105547,-0.642055223740169,0.00564821112244498,-0.770544794622236,2.04166666666667,55.2083333333333,0.677171717171718
"410",0,0.435892199752815,-0.411162508196284,-1.17011116158593,-0.909663302230871,6.45833333333333,57.4583333333333,0.444300518134715
"411",0,0.488617085016729,0.259688309727258,-0.98065572803823,-0.589264713784274,-4.375,54.4583333333333,0.456193078324226
"412",0,0.507348294255224,1.1375207838686,-0.00517407119228913,-0.801544655757199,-6.29166666666667,55.7916666666667,0.218360071301248
"413",0,0.487923336526414,-0.729586711074394,-0.224543893212182,-0.850666467806099,1.45833333333333,53.875,0.447027027027027
"414",0,-0.542986920081168,-0.18976992526257,0.555262261382434,-0.680593986712946,-8.95833333333333,59.2083333333333,2.22044604925031e-16
"415",0,0.330442429224987,-0.287504572781774,-1.25037730712795,-1.03352187168385,3.875,58.625,0.0471894326163607
"416",0,-1.87151527903374,0.169669355684543,0.781181387387364,1.03686283820052,-8.875,47.625,0.0205387205387209
"417",0,0.427567217869039,0.117631652336884,0.23802459684019,-1.10662548760858,1.54166666666667,59.625,0.203148148148148
"418",0,0.430342211830297,0.590802152740203,0.503299729548718,-0.399513313797569,-8.70833333333333,56.7083333333333,0.335778985507246
"419",0,0.460867145404142,0.817244738651627,0.355802323477053,-0.304793402377478,-8.875,54.9583333333333,0.21791528221099
"420",0,0.484454594074841,-0.628697851627837,0.041032153463226,-0.777683077525538,2.375,55.375,0.485687382297552
"421",0,0.45601090597194,-0.856168184609322,-0.303758609952284,0.199353563624544,-5.625,51.2916666666667,0.201759259259259
"422",0,0.428954714849668,-0.72850977788163,0.489061188668816,1.05155193398463,-4.79166666666667,47.2916666666667,-0.039361670150799
"423",0,0.459479648423513,-0.738859281962553,0.157252207800945,-0.835040346199892,2.875,56.125,0.454069767441861
"424",0,0.46641713332666,0.134611035873822,-0.0416731652926845,-1.19102801970251,-1.70833333333333,56.7083333333333,0.620942408376963
"425",0,0.438667193714073,-0.102588130007501,0.246347523147661,0.0514617961272331,-9.375,51.2083333333333,0.10031847133758
"426",0,0.172961521923559,-0.362205617114476,-4.1199636985827,-0.945326266404105,8.125,57.875,0.29981684981685
"427",0,0.478210857662009,-1.0741316864076,-0.144228185369731,-0.456340121232773,3.875,54.125,0.560375816993464
"428",0,-0.690061600027876,0.23003560552521,0.757186153651915,0.791209266935088,-10.0416666666667,48.4583333333333,0.00740740740740814
"429",0,-1.75912802360276,-0.409551510868739,0.776653517226898,1.34412379232457,-5.375,46.4583333333333,0.0821621621621625
"430",0,-1.22286044058953,-0.249207787037217,0.588557506776635,-0.18105276418614,-10.875,55.7916666666667,2.22044604925031e-16
"431",0,0.487229588036099,-0.883008854416648,-0.175183382150901,-0.693597629096192,2.29166666666667,53.875,0.521703296703297
"432",0,0.426179720888409,-0.104426233629997,0.284464472340577,-0.986451237609868,-0.208333333333334,57.625,0.0918902964826788
"433",0,0.487229588036099,0.418240687114656,-0.781178089311268,-0.109025213664358,3.125,52.375,0.447645951035782
"434",0,0.470579624268547,-0.714039721552162,-0.312963037174498,-0.871446690310344,6.20833333333333,56.9583333333333,0.507984031936128
"435",0,0.481679600113582,-0.935264972992822,0.236481085198311,0.282305587087885,-6.375,49.9583333333333,0.175956284153006
"436",0,0.507348294255224,3.03471773756617,-2.87608625418347,-0.238667462579493,4.875,52.9583333333333,0.33944099275002
"437",0,0.458092151442884,-0.560867379953451,-0.353788212069334,-0.326550114083204,-5.45833333333333,52.5416666666667,0.243706560247725
"438",0,-2.13860844780488,-0.0624076220297319,0.797228952232863,1.0182177680715,-10.875,47.875,2.22044604925031e-16
"439",0,0.412304751082116,0.116349928775212,0.267160149162814,-0.590066829914061,-7.375,56.5416666666667,0.318031189083821
"440",0,-2.55347004501305,-0.749917051029497,0.828630209717878,1.82362496014882,-4.375,44.875,2.22044604925031e-16
"441",0,0.505960797274595,0.694849778384734,-0.0868279611462774,-0.892247103380785,-5.625,55.9583333333333,0.177777777777778
"442",0,0.482373348603897,-0.856195168662749,0.0518331947920626,-0.821796252528312,4.70833333333333,55.7083333333333,0.522160148975792
"443",0,0.451154666539737,-0.883401774114445,-0.0415775808561461,0.265372585196991,-5.875,50.9583333333333,0.108381502890174
"444",0,0.432423457301241,0.710815533090535,0.550274169860857,-0.17024576362972,-9.625,55.2083333333333,0.126083333333334
"445",0,-2.90520052960258,-0.571023175723975,0.889790088445175,1.52349448802749,-10.2083333333333,44.5416666666667,0.0314136125654454
"446",0,-1.08757948497817,-0.224393615847061,0.587017535299072,-0.195065934879187,-10.5416666666667,55.9583333333333,2.22044604925031e-16
"447",0,-2.90034429017038,-0.335090704311276,0.885757841288982,1.46664978440862,-10.2083333333333,45.125,0.00334330519356367
"448",0,0.491392078977987,0.0218078249610855,-1.68845140027628,-0.575404807843715,7.20833333333333,54.7083333333333,0.423375526369478
"449",0,-2.57636374519343,-0.736548141431593,0.833699725018728,1.81809458051713,-4.45833333333333,44.875,2.22044604925031e-16
"450",0,0.484454594074841,0.276129833903897,-0.820799608338583,-0.6202196050218,-4.625,54.5416666666667,0.407971014492754
"451",0,0.440054690694703,0.709186774107569,0.465019932797256,-0.456821023809442,-8.54166666666667,56.875,0.424653864951054
"452",0,0.50665454576491,1.75566237124147,-2.56464914887338,1.40443530793461,-0.791666666666668,45.2916666666667,0.548704663212436
