"","Lon","Lat"
"338",0.75,56.25
"339",-8.25,56.25
"342",-0.25,56.25
"343",0.25,56.75
"345",7.25,56.75
"346",0.75,56.75
"347",-8.25,56.75
"349",-0.25,56.75
"350",7.75,56.75
"351",4.25,56.75
"352",-0.75,56.75
"355",1.25,56.75
"357",5.25,56.75
"358",-1.25,56.75
"359",5.75,56.75
"360",-6.75,56.75
"361",-1.75,56.75
"363",2.75,56.75
"365",-2.25,56.75
"366",6.25,56.75
"367",-7.25,56.75
"369",6.75,56.75
"370",3.75,56.75
"371",-0.75,57.25
"372",3.75,57.25
"374",-1.25,57.25
"375",5.25,57.25
"376",-8.25,57.25
"377",0.25,57.25
"378",-1.75,57.25
"379",5.75,57.25
"380",-8.75,57.25
"381",0.75,57.25
"382",4.25,57.25
"385",4.75,57.25
"386",6.25,57.25
"388",7.25,57.25
"389",1.25,57.25
"391",7.75,57.25
"392",1.75,57.25
"394",8.25,57.25
"396",-0.25,57.25
"397",8.75,57.25
"398",2.75,57.25
"399",8.25,57.75
"401",2.25,57.75
"402",-0.25,57.75
"403",8.75,57.75
"404",-0.75,57.75
"406",3.25,57.75
"409",3.75,57.75
"411",-1.25,57.75
"412",5.25,57.75
"413",-9.25,57.75
"414",0.25,57.75
"415",-1.75,57.75
"416",0.75,57.75
"418",4.25,57.75
"419",-2.75,57.75
"422",1.25,57.75
"423",-1.25,58.25
"424",-7.25,58.25
"425",1.25,58.25
"426",-1.75,58.25
"427",-7.75,58.25
"429",1.75,58.25
"430",2.25,58.25
"431",-2.75,58.25
"433",2.75,58.25
"434",-3.25,58.25
"435",-8.75,58.25
"436",3.25,58.25
"437",0.25,58.25
"438",3.75,58.25
"439",-0.25,58.25
"440",-9.25,58.25
"441",0.75,58.25
"442",-0.75,58.25
"444",0.75,58.75
"446",-1.25,58.75
"448",1.75,58.75
"449",-1.75,58.75
"450",-2.25,58.75
"451",2.75,58.75
"452",-3.75,58.75
"453",-8.25,58.75
"454",-4.25,58.75
"455",3.25,58.75
"456",-5.75,58.75
"457",0.25,58.75
"458",-0.75,58.75
"459",-6.25,58.75
"460",1.75,59.25
