"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.841836734693878,0.570071998402522,0.33588774059855,0.675592359767892,0.662668258792879,0.338260618560771
"2",0.904214559386973,0.672227471834851,0.39807499885243,0.71019809244314,0.689716312056738,0.399914404499878
"3",0.823699756747365,0.584577391726705,0.318156780744079,0.664475256992589,0.655900416758061,0.32037567375065
"4",0.886279069767442,0.672965037852494,0.383281253944016,0.674095744680851,0.708127164769916,0.382222909450767
"5",0.861855187741256,0.605837681060415,0.352129957975081,0.695654960266598,0.662414790332576,0.358069750599174
"6",0.895004625346901,0.607528523651685,0.390551771083418,0.694842738205365,0.695959710276143,0.390802448481508
"7",0.909439219784047,0.703939065504058,0.405574855652705,0.686868686868687,0.718268525311812,0.405137212180499
"8",0.860853432282004,0.570200880073866,0.35503314372058,0.685565764023211,0.67156969170647,0.357135455729681
"9",0.877312673450509,0.633850523144148,0.373715093456701,0.682095971027614,0.691315911193339,0.373411882220954
"10",0.908059422154638,0.656479342892373,0.403192425634042,0.677494319355505,0.726159958984876,0.403654278340381
