"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.897455440900563,0.27356429821423,0.390135726947225,0.669271904566022,0.722381635581062,0.391653540147084
"2",0.889939309056956,0.662914791571827,0.382242671166091,0.708966565349544,0.676887776387151,0.385854341736695
"3",0.932236765898297,0.733094491266754,0.426603430953368,0.720415969399952,0.707227462162755,0.427643431562707
"4",0.858499525166192,0.522370987593762,0.346547367017702,0.703355155482815,0.651349487785658,0.354704643268473
"5",0.902589109485661,0.705478048842471,0.398767946351157,0.683752417794971,0.714661286378088,0.398413704173059
"6",0.866945315221177,0.370815167435342,0.360739328645056,0.690694546343849,0.672469374597034,0.363163920940884
"7",0.890767983319819,0.674043377324637,0.385658047846768,0.699019842218503,0.68765080061417,0.386670642832673
"8",0.885204081632653,0.670500935149603,0.379174193813587,0.69813829787234,0.682967867998263,0.381106165870604
"9",0.886807723436235,0.699066962217257,0.382692747654999,0.688743994509266,0.693948753145733,0.382692747654999
"10",0.893233082706767,0.694019507341796,0.389495421838644,0.687793952967525,0.701367781155015,0.38916173412254
