"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.986267166042447,0.724641214121145,0.480033474162469,0.726156258165665,0.754521963824289,0.480678221989954
"2",0.991976351351351,0.799494530749373,0.482067963451023,0.708817829457364,0.777498428661219,0.486316258118584
"3",0.998335414065751,0.739340548538574,0.492067842679452,0.75502440424921,0.737588189182127,0.492612593431337
"4",0.994733924611973,0.748449486716511,0.48410881281653,0.731016042780749,0.753371592539455,0.484387635320203
"5",0.989711646136618,0.7478772593493,0.479152263101554,0.711957197959438,0.770160049245922,0.482117247205359
"6",0.996500559910414,0.78341301544983,0.487919036122176,0.716476991588323,0.774250305997552,0.490727297585875
"7",0.988625329449299,0.769510824019178,0.482387242624552,0.727266788607264,0.755742176284812,0.483008964892076
"8",0.991760927244798,0.743376873673617,0.483868771202576,0.71730432608152,0.768800966475385,0.486105292556905
"9",0.999149659863946,0.802625135012221,0.487567961633399,0.70609871855719,0.787306201550388,0.493404920107578
"10",0.995699819669857,0.754062232512258,0.489459568651553,0.730598379932062,0.75940281366638,0.490001193598441
