"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.777133580705009,0.477406499662771,0.27154053510888,0.64198500967118,0.632327399044724,0.274312408715904
"2",0.815398886827458,0.536051829930371,0.308995264211163,0.661871373307544,0.650238818931828,0.312110192239372
"3",0.806285178236398,0.498112602122204,0.296337721927918,0.666839647119875,0.636252045826514,0.303091692946389
"4",0.757856472795497,0.474721361373881,0.246587435878202,0.640049299429165,0.615128887070376,0.255178186499541
"5",0.835993011065812,0.533480852351486,0.328212593984214,0.678097622027534,0.654413313671793,0.332510935699327
"6",0.849594907407407,0.572270810419791,0.343623310348141,0.675757575757576,0.669173351158645,0.344930926916221
"7",0.74791280148423,0.532682491038894,0.248013698436492,0.613547546678246,0.631890715667311,0.245438262345557
"8",0.810185185185185,0.548811670233619,0.294427772215138,0.675600109110747,0.631304176516942,0.30690428562769
"9",0.830721003134796,0.515835906116635,0.32430748537964,0.671557838102225,0.655705996131528,0.327263834233754
"10",0.771345369831101,0.500345684958849,0.26262507100695,0.643304130162703,0.625342321466189,0.268646451628893
