"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.614814814814815,0.215342110337907,0.100399208762256,0.566279069767442,0.545650301464255,0.111929371231697
"2",0.516569200779727,0.106917696648476,0.00354043111409983,0.505167958656331,0.511015911872705,0.0161838705290357
"3",0.60932944606414,0.231111350341477,0.101637385293714,0.556478405315615,0.55030849549122,0.106786900806834
"4",0.627403846153846,0.230155049474555,0.118335305609124,0.571584302325581,0.553220035778175,0.124804338103757
"5",0.631347962382445,0.230492273950087,0.114835361719864,0.578588612670409,0.550105708245243,0.128694320915652
"6",0.582175925925926,0.152691553769112,0.0799160544986857,0.541020671834625,0.540213178294574,0.081233850129199
"7",0.517231134878194,0.0701156496336593,0.0154003432606817,0.504812834224599,0.512110726643599,0.0169235608681976
"8",0.588829471182412,0.143782701700304,0.0829376187188914,0.546863988724454,0.539899680802554,0.0867636695270074
"9",0.541454081632653,0.0183873985573289,0.0364441474736137,0.521179401993355,0.519310631229236,0.0404900332225913
"10",0.467617349970291,0.0123907089615575,-0.0399935824124891,0.474982381959126,0.493160054719562,-0.0318575633213116
