"","TSS","AUC_mean","AUC_sd","Kappa_mean","Kappa_sd","Sensi_mean","Sensi_sd","Speci_mean","Speci_sd","Correlation"
"1",0.397596656217346,0.736677115987461,0.0319697666825396,0.330725771403738,0.0576629719899756,0.742424242424242,0.0542402755105653,0.655172413793103,0.0361373041527912,0.778458959629421
"2",0.404682274247492,0.736935618729097,0.0332202463850613,0.307204062202475,0.0586979541465961,0.730769230769231,0.0621108373812458,0.673913043478261,0.0346531804348759,0.766337783043932
"3",0.344592825346949,0.675613162258881,0.0341530020666627,0.258834327673245,0.0494739949930477,0.835820895522388,0.0455977681090133,0.508771929824561,0.0383423474416499,0.711200779482858
"4",0.316666666666667,0.708055555555556,0.0348917491774902,0.27536231884058,0.0636070468138417,0.6,0.0637792804143281,0.716666666666667,0.0336806855411623,0.709415367232004
"5",0.48200241984271,0.777563520871143,0.0291541353693136,0.415609819711147,0.0484943816377519,0.942528735632184,0.0250970947405483,0.539473684210526,0.0405624225224903,0.719834862086627
"6",0.337121212121212,0.677169421487603,0.0343910658188643,0.244505494505495,0.0472850298421709,0.848484848484849,0.044472690042748,0.488636363636364,0.0377866845609172,0.706741692092411
"7",0.342416692619122,0.723839925256929,0.0325064950790522,0.276377804310941,0.0513454999338279,0.815789473684211,0.0447626344637652,0.526627218934911,0.0385210974362003,0.796841746475741
"8",0.399166955918084,0.743882332523429,0.0323981386188631,0.348379279006362,0.0601970132405395,0.701492537313433,0.0563270694124133,0.697674418604651,0.0351209126342837,0.766154535111723
"9",0.326612903225806,0.673249633431085,0.0362471667303143,0.209511492563635,0.0367286583456813,0.951612903225806,0.0274745144619036,0.375,0.03659625273557,0.775414422877868
"10",0.36531007751938,0.710029069767442,0.0330786815471408,0.316718006160739,0.0585172148164363,0.708333333333333,0.0539427477173615,0.656976744186046,0.0363026831757484,0.724985385115739
