"","x"
"TSS",0.371616868372477
"AUC_mean",0.716301535586863
"AUC_sd",0.0332010447475302
"Kappa_mean",0.298322837637836
"Kappa_sd",0.0532009765759869
"Sensi_mean",0.787725620038968
"Sensi_sd",0.0477804912253892
"Speci_mean",0.583891248333509
"Speci_sd",0.0367703570635689
"Correlation",0.745538553314832
