"","CPO","WAIC","PO","DIC"
"1",0.50049493500875,748.660856734144,0.670230375604981,921.062236965108
"2",0.49966388188518,746.775263362458,0.668595791443367,921.062236965108
"3",0.500323366759818,748.583020979983,0.669826111490999,921.062236965108
"4",0.498439407181566,754.603819928626,0.6661294852624,921.062236965108
"5",0.501056469063423,745.535726170824,0.671295703364846,921.062236965108
"6",0.503640995530335,730.50077841867,0.676593574556275,921.062236965108
"7",0.502405233129471,733.775241949994,0.674073587764602,921.062236965108
"8",0.533252909899019,698.832906368854,0.691054487724929,921.062236965108
"9",0.49926440379292,751.112497053363,0.66774911054705,921.062236965108
"10",0.494363828623499,766.540128298912,0.65806900211988,921.062236965108
