"","CPO","WAIC","PO","DIC"
"1",0.586287663128142,602.47441902192,0.751684247711579,921.062236965108
"2",0.593276362557239,580.786647595651,0.762894359845117,921.062236965108
"3",0.59879270692792,573.316237927242,0.766471594858667,921.062236965108
"4",0.584661448562957,612.513944075446,0.746591586645067,921.062236965108
"5",0.606860516515465,570.384041486883,0.767825461634355,921.062236965108
"6",0.597433952912941,580.626125516849,0.762654911570602,921.062236965108
"7",0.601646434284955,557.015298946845,0.777104232324738,921.062236965108
"8",0.590396554209764,596.380088745621,0.75496596801049,921.062236965108
"9",0.595863035848167,573.741109670234,0.764332305377271,921.062236965108
"10",0.590681963114473,594.404062105138,0.757264477591193,921.062236965108
