"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.822155411655874,0.610737008525012,0.33355120686977,0.635967009323452,0.69723986321446,0.333206872537912
"2",0.867152271938953,0.685851296979435,0.369998237264234,0.670309653916211,0.699688583348023,0.369998237264234
"3",0.89120559114735,0.714518148980813,0.406519667123491,0.688770053475936,0.719903240324032,0.408673293799968
"4",0.817088680772344,0.609080509672546,0.313429421185083,0.654255319148936,0.659174102036147,0.313429421185083
"5",0.912197382138306,0.762648883506633,0.411724202834502,0.703895945285784,0.709155087404751,0.413051032690535
"6",0.923228118857671,0.782403658357463,0.433811230585424,0.694145758661888,0.739665471923536,0.433811230585424
"7",0.876814118193429,0.692398135606751,0.38944354787883,0.674022988505747,0.717056277056277,0.391079265562024
"8",0.860199882422105,0.654442375214254,0.358940096301958,0.687265534411022,0.678295185477506,0.365560719888528
"9",0.876346577087918,0.713579280823518,0.379173812183991,0.685146314359798,0.695819644273252,0.38096595863305
"10",0.888682745825603,0.722437734257453,0.389078473599211,0.681095018652622,0.707172531769306,0.388267550421928
