"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.992378048780488,0.943351426196525,0.495938129376141,0.724823081110506,0.771505768949905,0.496328850060411
"2",0.979654403567447,0.916506803763498,0.48929358015899,0.7079307568438,0.782763532763533,0.490694289607333
"3",0.995981152993348,0.960566655518618,0.514132917727284,0.734661414937131,0.779503105590062,0.514164520527193
"4",0.999166666666667,0.968725866115134,0.502514575718781,0.756287425149701,0.746972721224218,0.503260146373919
"5",0.995017301038062,0.944689729972815,0.498529411764706,0.735994397759104,0.762535014005602,0.498529411764706
"6",0.9769955654102,0.906540387974535,0.479923240449343,0.723734349482853,0.756608733752008,0.480343083234861
"7",0.988871887606065,0.925741183274826,0.493556807516182,0.759110088224012,0.735531135531136,0.494641223755148
"8",0.972844344904815,0.898764727214843,0.47604272414987,0.713912600331252,0.764812480302553,0.478725080633805
"9",0.980758582502769,0.938024338927763,0.497645195191291,0.736235119047619,0.761482558139535,0.497717677187154
"10",0.993995252059768,0.945385984434166,0.492430332254344,0.718203219443914,0.776531161146546,0.49473438059046
