"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.842836862652313,0.606344967717173,0.338328743840895,0.684247538677918,0.66183800623053,0.346085544908448
"2",0.870837187789084,0.667231803439905,0.38581309821692,0.671243325705568,0.714694537762847,0.385937863468415
"3",0.855889577728389,0.640270523045724,0.352731108037013,0.699920561366345,0.658593833351115,0.358514394717459
"4",0.866327474560592,0.6921714288994,0.372186930771353,0.656853043047996,0.715116279069767,0.371969322117764
"5",0.837441037735849,0.641233642817932,0.33781456539763,0.632904831018039,0.705082417582418,0.337987248600456
"6",0.893513701005897,0.699369350870327,0.417799418408061,0.709271657537026,0.708527760871035,0.417799418408061
"7",0.900612858464385,0.726384644168162,0.417369641818207,0.676988348530902,0.740359730848861,0.417348079379763
"8",0.881757955755353,0.696423635446814,0.38732622467437,0.68071389260162,0.712195971440181,0.392909864041801
"9",0.826132283099734,0.600166759763553,0.328675060575029,0.64900705513457,0.680951810117478,0.329958865252048
"10",0.884606481481481,0.670237814305581,0.394850243167718,0.669494949494949,0.725694444444444,0.395189393939394
