"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.992214285714286,0.919050583128005,0.489165804855017,0.688333333333333,0.807783882783883,0.496117216117216
"2",0.993352721229747,0.939616338990424,0.552350629187548,0.764117941029485,0.788370874803562,0.552488815833047
"3",0.989128929511148,0.927264318812528,0.516806968779558,0.714958492975734,0.802125167336011,0.517083660311745
"4",0.992196209587514,0.934091405306647,0.501805968981991,0.707651044607566,0.796786546786547,0.504437591394113
"5",1,0.961187216511881,0.513924050632911,0.723827252419955,0.790096798212956,0.513924050632911
"6",0.996771929824561,0.943469346067952,0.506522104987388,0.716728126047603,0.793036093418259,0.509764219465862
"7",0.99958006718925,0.953245143436877,0.518929222730546,0.705277155655095,0.817001385041551,0.522278540696646
"8",0.994179600886918,0.941761883753098,0.558285656677398,0.756258234519104,0.802492046659597,0.558750281178701
"9",0.990402003060231,0.932166249858448,0.50224955545477,0.712660578857762,0.790426100909253,0.503086679767015
"10",0.995568480819831,0.93875902824903,0.537770700956821,0.746196754563895,0.791637136782424,0.537833891346318
