"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.824834365156946,0.488610180887008,0.316519386365744,0.439811172305271,0.867947770386795,0.307758942692066
"2",0.874253902662994,0.548539671851753,0.349777273744738,0.49072966507177,0.857987772461457,0.348717437533227
"3",0.828221738133456,0.506462940008811,0.330323986439262,0.470102027637866,0.854855735397607,0.324957763035474
"4",0.848015034061546,0.49459596233071,0.320013296814559,0.457662492546213,0.859168609168609,0.316831101714823
"5",0.803615780049674,0.423283203126615,0.278339772624226,0.426005747126437,0.850188442211055,0.276194189337492
"6",0.858866442199775,0.486571014229235,0.313443968611034,0.43239625167336,0.871364244858221,0.303760496531581
"7",0.856992823385262,0.501400724694212,0.328517561654735,0.459463601532567,0.863553299492386,0.323016901024953
"8",0.834226689000558,0.494957483252565,0.308695062046291,0.436894586894587,0.865159128978224,0.302053715872811
"9",0.86197025144611,0.522673066534998,0.351928419842654,0.480204872646733,0.867718153251148,0.347923025897881
"10",0.859325842696629,0.554439757747657,0.366605881382405,0.494793093998356,0.867560975609756,0.362354069608112
