"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.83240008783487,0.466494668912277,0.32650936591058,0.456174838112858,0.862722974425102,0.318897812537961
"2",0.866778900112233,0.531736445935461,0.365491042020002,0.494125159642401,0.867641936607454,0.361767096249855
"3",0.884767212353419,0.611656428360949,0.410975296648742,0.528603514334787,0.87646580750029,0.405069321835077
"4",0.87092423176167,0.539149226047512,0.357409527012549,0.505747126436782,0.853448275862069,0.359195402298851
"5",0.895826395826396,0.63436618976086,0.426779353665127,0.55938292476754,0.865724553224553,0.425107477992093
"6",0.867072635505815,0.549578203993314,0.371802339460945,0.526191180822729,0.845440928665044,0.371632109487773
"7",0.827788757136583,0.483879203577207,0.318084527220654,0.464221014492754,0.84832702020202,0.312548034694774
"8",0.839774207555363,0.46861354599476,0.320674797338273,0.455879059350504,0.859505907626208,0.315384966976712
"9",0.83569587628866,0.472481104028509,0.312722969839728,0.446140693698095,0.859550561797753,0.305691255495848
"10",0.844029932270046,0.48429317833804,0.34001822832098,0.45831342570473,0.874150974653487,0.332464400358217
