"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.901522842639594,0.682579266479145,0.360275579421456,0.772587466359093,0.624945110919853,0.397532577278946
"2",0.875420497869478,0.635208699216688,0.336727291155014,0.755484933185282,0.617275830192704,0.372760763377986
"3",0.890506400815679,0.65772302133619,0.349316351524348,0.762645020484742,0.621574050792054,0.384219071276796
"4",0.876333487940631,0.651664208017662,0.328014940347686,0.756436745073109,0.615277579563294,0.371714324636403
"5",0.915345960572091,0.720794948196083,0.372728809861443,0.781800391389432,0.62879465822262,0.410595049612052
"6",0.916703080620494,0.724950109652689,0.371842511444186,0.783841326759301,0.628865979381443,0.412707306140744
"7",0.86301214391102,0.5997663358257,0.321187029223369,0.747404844290657,0.611548006011674,0.358952850302331
"8",0.908405664687072,0.677810342075167,0.362235427056457,0.780250237567311,0.623413233414459,0.40366347098177
"9",0.892615250163863,0.665482790559505,0.351621481152148,0.765358361774744,0.622909770696486,0.38826813247123
"10",0.872705550124905,0.633409476084448,0.333302007922723,0.752023057310719,0.614651671352702,0.366674728663422
