"","AUC","COR","Kappa","Sensitivity","Specificity","TSS"
"1",0.931171879264232,0.741966911697786,0.391736641257638,0.789328325231993,0.638185800709269,0.427514125941262
"2",0.913451776649746,0.703363042510778,0.370009049611797,0.781018518518519,0.628472222222222,0.409490740740741
"3",0.912690737158822,0.705815095473603,0.374505975529219,0.776595744680851,0.632481275338418,0.409077020019269
"4",0.894444444444444,0.655280314310277,0.354916840852785,0.766820987654321,0.624025651927438,0.390846639581759
"5",0.889741259488934,0.664114488540722,0.351336865200329,0.763858734983355,0.623611253546645,0.38746998853
"6",0.873914269599549,0.636282887202054,0.329529882463054,0.753317901234568,0.616486886632826,0.369804787867394
"7",0.896872000451697,0.674284025834805,0.351420734994301,0.77345359822713,0.621515883917859,0.394969482144989
"8",0.909901323166629,0.691665182350311,0.368720331997055,0.776379330012548,0.629899018430902,0.40627834844345
"9",0.91759991216513,0.710032125597176,0.376658450238356,0.781826980345444,0.632523868825239,0.414350849170682
"10",0.929954180985109,0.737421705903247,0.388856947868495,0.79013209013209,0.635480498882561,0.425612589014651
